"filename", "language", "SCSS", "JSON", "TypeScript", "Markdown", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\angular.json", "JSON", 0, 108, 0, 0, 0, 0, 0, 83, 0, 191
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\capacitor.config.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\config.xml", "XML", 0, 0, 0, 0, 0, 101, 0, 0, 1, 102
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 6, 3, 37
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\e2e\src\app.po.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\e2e\tsconfig.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\electron\capacitor.config.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\electron\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 56, 16, 15, 87
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\electron\package-lock.json", "JSON", 0, 1690, 0, 0, 0, 0, 0, 0, 1, 1691
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\electron\package.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 14
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\ionic.config.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 2, 2, 32
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\package-lock.json", "JSON", 0, 40466, 0, 0, 0, 0, 0, 0, 1, 40467
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\package.json", "JSON", 0, 120, 0, 0, 0, 0, 0, 0, 1, 121
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\resources\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\resources\android\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\app-routing.module.ts", "TypeScript", 0, 0, 61, 0, 0, 0, 0, 0, 3, 64
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\app.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 28, 1, 34
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\app.component.scss", "SCSS", 91, 0, 0, 0, 0, 0, 0, 0, 28, 119
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\app.component.spec.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 12, 68
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\app.component.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\app.module.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\buscar-norma\buscar-norma.component.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\buscar-norma\buscar-norma.component.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\buscar-norma\buscar-norma.component.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ciclo-participante\ciclo-participante.component.html", "HTML", 0, 0, 0, 0, 130, 0, 0, 0, 2, 132
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ciclo-participante\ciclo-participante.component.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ciclo-participante\ciclo-participante.component.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 0, 0, 13, 115
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\com-calendar-month-year\com-calendar-month-year.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\com-calendar-month-year\com-calendar-month-year.component.scss", "SCSS", 78, 0, 0, 0, 0, 0, 0, 0, 11, 89
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\com-calendar-month-year\com-calendar-month-year.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 5, 8, 50
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\components.module.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 2, 112
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\custom-header\custom-header.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\custom-header\custom-header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\custom-header\custom-header.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\custom-input\custom-input.component.html", "HTML", 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\custom-input\custom-input.component.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\custom-input\custom-input.component.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 11, 123
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\editor-documento\editor-documento.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\editor-documento\editor-documento.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\editor-documento\editor-documento.component.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-cronograma-list\ela-cronograma-list.component.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-cronograma-list\ela-cronograma-list.component.scss", "SCSS", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-cronograma-list\ela-cronograma-list.component.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 2, 10, 75
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-cronograma\ela-cronograma.component.html", "HTML", 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-cronograma\ela-cronograma.component.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-cronograma\ela-cronograma.component.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 8, 74
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-edit-areapreocupacion\ela-edit-areapreocupacion.component.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-edit-areapreocupacion\ela-edit-areapreocupacion.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-edit-areapreocupacion\ela-edit-areapreocupacion.component.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-edit-hallazago\ela-edit-hallazago.component.html", "HTML", 0, 0, 0, 0, 42, 0, 0, 25, 3, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-edit-hallazago\ela-edit-hallazago.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-edit-hallazago\ela-edit-hallazago.component.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 3, 13, 92
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-objetivos\ela-objetivos.component.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-objetivos\ela-objetivos.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-objetivos\ela-objetivos.component.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 0, 0, 6, 51
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-plan-muestreo\ela-plan-muestreo.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-plan-muestreo\ela-plan-muestreo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-plan-muestreo\ela-plan-muestreo.component.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 11, 38
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-areapreocupacion\ela-registro-areapreocupacion.component.html", "HTML", 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-areapreocupacion\ela-registro-areapreocupacion.component.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 2, 2, 58
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-areapreocupacion\ela-registro-areapreocupacion.component.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 4, 54
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-hallazgos\ela-registro-hallazgos.component.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 9, 0, 55
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-hallazgos\ela-registro-hallazgos.component.scss", "SCSS", 54, 0, 0, 0, 0, 0, 0, 2, 2, 58
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\ela-registro-hallazgos\ela-registro-hallazgos.component.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\lista-verificacion-apertura\lista-verificacion-apertura.component.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\lista-verificacion-apertura\lista-verificacion-apertura.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\lista-verificacion-apertura\lista-verificacion-apertura.component.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 0, 7, 62
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\meses\meses.component.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\meses\meses.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\meses\meses.component.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\message-error\message-error.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\message-error\message-error.component.scss", "SCSS", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\message-error\message-error.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-documentos\param-documentos.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-documentos\param-documentos.component.scss", "SCSS", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-documentos\param-documentos.component.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-horarios\param-horarios.component.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-horarios\param-horarios.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-horarios\param-horarios.component.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 6, 63
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-organismos-certificadores\param-organismos-certificadores.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-organismos-certificadores\param-organismos-certificadores.component.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-organismos-certificadores\param-organismos-certificadores.component.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 6, 6, 60
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-paises\param-paises.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 4, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-paises\param-paises.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-paises\param-paises.component.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 9, 85
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\plan-auditoria\plan-auditoria.component.html", "HTML", 0, 0, 0, 0, 70, 0, 0, 0, 2, 72
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\plan-auditoria\plan-auditoria.component.scss", "SCSS", 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\plan-auditoria\plan-auditoria.component.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-ciclo-manager\pra-ciclo-manager.component.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-ciclo-manager\pra-ciclo-manager.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-ciclo-manager\pra-ciclo-manager.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-cronograma\pra-cronograma.component.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 2, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-cronograma\pra-cronograma.component.scss", "SCSS", 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-cronograma\pra-cronograma.component.ts", "TypeScript", 0, 0, 165, 0, 0, 0, 0, 0, 14, 179
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-direccion-sistema\pra-direccion-sistema.component.html", "HTML", 0, 0, 0, 0, 27, 0, 0, 43, 2, 72
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-direccion-sistema\pra-direccion-sistema.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-direccion-sistema\pra-direccion-sistema.component.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-edit-norma-sistema\pra-edit-norma-sistema.component.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-edit-norma-sistema\pra-edit-norma-sistema.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-edit-norma-sistema\pra-edit-norma-sistema.component.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 11, 64
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\product-detail\product-detail.component.html", "HTML", 0, 0, 0, 0, 54, 0, 0, 30, 1, 85
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\product-detail\product-detail.component.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\product-detail\product-detail.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 0, 6, 76
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\registro-ciclo\registro-ciclo.component.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\registro-ciclo\registro-ciclo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\registro-ciclo\registro-ciclo.component.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 8, 28
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcp-list-products\tcp-list-products.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 4, 0, 49
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcp-list-products\tcp-list-products.component.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 1, 1, 47
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcp-list-products\tcp-list-products.component.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 10, 84
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-list-systems\tcs-list-systems.component.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 5, 0, 77
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\tcs-list-systems\tcs-list-systems.component.scss", "SCSS", 49, 0, 0, 0, 0, 0, 0, 1, 1, 51
